LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;UnitKerja
0;15.09;0;0;6;0;2
0;57.07;0;3;14;0;7
0;114.07;2.75;4;264;0;5
0;4.06;0;0;2;0;6
8;76.03;5.42;7;348;21;2
0;156.96;0;0;612;0;2
73;66.96;127.34;267;36;54;2
0;5.69;0;0;1;0;2
2592;288.36;1326.07;1813;2326;845;1
1323;361.17;1180.16;1368;1461;1218;2
150;198.7;1;2;519;7;2
0;31.8;0;0;122;0;2
0;43.08;6;2;0;42;3
66;39.26;3;3;6;100;2
0;11.06;0.25;5;24;2;2
669;219.51;135.58;464;841;1240;2
1;31.65;0;0;27;54;2
1;77.56;19.25;78;438;0;2
0;45.27;0;0;15;4;2
0;15.8;0;0;18;22;1
43;9.89;1.42;30;111;35;2
35;11.57;46.9;30;46;52;2
0;8.68;1.67;10;72;0;2
0;57.21;1.5;2;11;5;4
0;21.52;0;0;4;0;1
2;43.91;1.67;5;20;3;4
0;4.78;0;0;5;25;2
1105;676.74;1579.54;1116;1370;1097;2
0;52.6;33.75;109;341;2;2
0;126.66;0.75;2;57;1;2
0;74.55;0;0;106;0;7
7;381.05;5;13;1136;2;2
5;42.12;0;0;12;20;2
0;35.69;0;0;0;2;5
0;11.38;0;0;2;0;1
0;75.63;0;0;3;0;1
0;56.05;58;92;409;23;2
0;81.49;4.25;20;19;12;7
0;97.97;0;0;4;4;5
0;67;0;0;430;0;4
0;102.75;0;0;3;0;4
3;35;0.25;5;26;8;5
0;22.01;0;0;0;0;7
0;331.43;10.33;11;104;5;2
0;0;0;0;0;0;2
30;74.36;19.75;163;392;892;2
7;101.03;0;0;3;15;5
0;14.59;0;0;1;0;7
0;58.81;0;0;1;0;4
1566;325.72;420.18;1362;1798;1640;2
0;24.43;0;5;209;15;7
0;7.6;0;0;0;0;2
0;21.09;3;1;2;2;7
4;475.82;0;0;1139;75;2
0;3.29;0;0;0;0;2
0;18.34;0;0;3;1;5
0;9.77;0;0;1;0;2
0;150.14;0;1;544;7;2
0;53.81;0;0;104;0;5
0;12.77;3;0;1;0;7
0;97.62;0;3;148;6;2
0;53.16;0;0;241;0;5
0;25.06;0;0;3;0;4
0;58.02;0.5;1;1;0;5
0;42.54;0;6;70;0;1
0;11.89;0;0;1;0;5
0;83.46;0;0;495;190;4
0;143.44;0;0;306;146;2
0;44.49;0;0;2;0;5
0;56.17;0;1;5;0;2
0;77.75;0;1;135;97;7
0;100.31;0;0;706;0;7
1;45.94;2;1;68;0;6
5;24.05;0;0;1;10;5
0;120.5;29.25;30;729;15;2
0;18.24;0;13;3;1;2
0;37.13;0.5;2;18;2;2
0;13.36;1;1;8;25;2
9;169.25;1.25;4;15;1;2
0;144.02;0;0;840;0;2
0;30.6;0;0;2;38;7
0;30.5;2;2;101;200;7
0;9.32;0;0;5;0;4
0;31.03;0;0;8;0;6
37;40.92;14;11;18;21;1
0;11;0;0;2;0;1
0;28.25;1.5;3;8;0;1
0;210.65;0;0;693;61;2
0;1.5;0;0;1;0;4
0;29.5;0;0;3;0;2
0;19.49;0;0;69;0;2
0;344.7;16.42;13;292;735;7
0;3.04;0;0;5;0;2
8;192.08;0;0;412;232;2
0;2.56;0;0;0;0;1
0;54.72;0;0;9;26;1
0;28.26;0;0;7;1;2
0;0;0;0;0;0;4
0;72.29;1.5;1;34;98;3
1;15.76;0;0;5;4;2
0;0;0;0;0;0;7
0;0;0;0;0;0;1
0;5.64;0;0;2;0;6
0;355.04;7;10;1283;1762;2
57;154.06;12;31;644;362;2
0;8.05;0;0;3;1;6
0;5.06;0;0;1;0;5
0;10.43;0;0;2;0;6
0;50.41;16;6;10;1;2
7;181.58;0;6;825;121;2
0;0;0;0;0;0;6
0;0;0;0;0;0;6
0;0;0;0;0;0;6
0;3.84;0;0;2;0;7
0;11.86;0;0;4;7;6
0;16.25;0;0;0;0;6
1;44.6;0;3;65;6;4
0;0;0;0;0;0;7
0;0;0;0;0;0;6
0;137.52;0;0;1335;0;2
0;0;0;0;0;0;7
0;4.54;0;0;1;0;2
1;37.46;5;4;74;10;3
0;25.49;0;0;5;0;6
0;40.76;0;0;12;0;6
0;76.87;0;0;39;0;2
0;55.85;0;0;8;0;2
8;220.85;18;8;210;11;7
3;98.73;68.75;77;82;55;1
0;199.64;0;1;162;0;5
0;11.19;0;0;4;0;6
0;89.68;0;0;34;0;2
307;295.08;392.39;1229;1246;73;6
0;43.83;24;105;212;546;5
0;140.92;0.08;1;1087;0;6
0;4.16;0;0;3;0;6
0;10.5;0;0;5;0;6
0;91.79;0;0;92;0;2
0;235.37;0;0;194;6;6
0;8.42;0;0;7;0;6
0;12;0;0;7;0;6
504;406.49;254.08;481;1628;1367;6
3;86.37;12.55;55;98;1246;7
0;1.54;0;0;2;0;6
0;2.98;0;0;2;0;7
0;7.44;0;0;3;0;6
0;424.27;0;0;310;11;1
0;2.58;0;0;1;0;6
0;14.96;0;0;5;8;6
0;37.06;0;0;28;0;6
94;79.52;19.08;111;1200;8;6
0;0;0;0;0;0;4
0;48.8;6;14;285;227;6
0;1.09;0;0;4;0;6
0;0.05;0;0;0;8;6
0;184.23;55.75;150;1529;1250;5
0;41.6;0;0;34;26;4
0;0.54;0;0;10;0;4
0;92.18;13.15;59;159;148;1
0;76.04;0;0;2;299;1
0;58.85;19.25;27;135;65;5
0;6.88;0;0;29;0;7
0;60.6;0;0;8;11;4
0;13.27;0;0;0;0;1
0;117.74;0;0;316;10;7
0;84.72;0;5;244;0;6
6;34.9;10;5;10;37;2
315;579.33;0;2;1217;19;2
0;0;0;1;0;0;3
1;280.15;3.25;10;437;8;4
133;124.58;26;26;114;164;2
0;1.5;0;0;1;0;2
0;2.8;0;0;1;0;2
0;0;0;0;0;0;2
20;42.19;8.03;33;445;12;4
1522;1207.76;1417.44;1324;1550;895;2
0;74.51;0;0;8;0;1
0;107.78;0;0;14;0;2
0;2.53;0;0;9;0;6
0;58.18;0;0;11;145;6
0;32.01;0;0;3;2;6
0;9.13;0;0;32;18;6
3;47.31;3.5;8;4;119;1
132;101.14;28.34;46;659;661;7
0;63.02;0;0;0;0;6
0;0;0;0;0;0;6
0;9.4;0;0;32;0;6
0;52.46;0;0;3;0;6
0;182.55;0;0;200;590;4
0;0;0;0;0;0;2
0;7.75;0;0;4;0;2
0;0;0;0;0;0;3
0;0.04;0;1;0;3;7
0;2.19;0;0;1;0;1
0;0;0;0;0;0;7
21;350.63;36.74;61;1101;81;4
0;92.22;7;6;39;4;5
0;107.7;10.43;35;59;207;1
0;7.71;0;0;2;28;6
6;116.11;77.75;245;221;419;7
583;101;22.15;374;336;739;2
0;42.93;0;0;256;23;4
137;93.06;37.85;77;620;689;2
0;159.32;6.5;4;936;15;2
0;135.67;0;0;691;0;2
0;0;0;0;0;0;6
0;16.3;0;2;6;0;6
0;79.64;0.5;1;29;100;1
0;24;0;0;1;0;1
0;22.71;0;0;1;0;1
181;120.49;22.5;156;469;283;4
0;5.17;0;0;3;0;1
0;1.91;0;0;0;1;1
1;29.68;0;0;7;47;4
0;45.38;0;0;6;1;4
0;79.76;0;3;244;104;2
0;58.25;0;0;11;0;4
0;0;0;0;0;0;6
0;34.82;0;0;2;0;4
0;115.92;0;0;1100;0;2
0;17.38;0;0;0;0;6
0;0;0;0;0;0;6
300;271.26;45.66;297;1364;590;2
1;57.54;75.5;50;22;6;2
0;18.18;0;0;0;0;6
0;33.97;0;0;6;1;6
0;17.42;0;0;5;1;6
444;310.88;88.41;390;1249;1238;2
104;146.24;16.27;122;819;159;2
0;20.5;0;0;6;0;5
5;171.06;15;14;484;36;2
0;101.48;0;0;46;1;2
0;12.99;0;0;2;0;2
0;24.33;4;3;12;0;2
0;72.54;0;0;0;0;5
268;264.17;60.63;252;1353;769;7
0;60.85;0.5;1;27;0;2
1534;366.69;298.55;1399;2848;582;7
0;3;0;0;2;0;6
0;62.12;3;5;30;0;1
0;15.71;0;0;5;9;1
1;117.19;1.5;3;144;0;2
11;106.01;29.17;32;109;57;6
2;9.5;0;1;9;0;2
22;57.92;5.5;22;36;346;7
0;123.52;4.75;19;54;81;3
317;165.88;36.12;294;1015;519;7
0;14.42;0;9;8;3;1
0;7.78;0;0;3;0;6
323;412.15;39.79;309;2381;683;7
0;7.58;0;0;3;0;6
0;1.5;0;0;1;0;4
0;49.08;0;0;9;1;1
0;24.59;0;0;80;0;7
