LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;UnitKerja
0;15.09;0;0;6;0;Business Support & Office Support
0;57.07;0;3;14;0;Tollroad Operation
0;114.07;2.75;4;264;0;Information Technology
0;4.06;0;0;2;0;Tollroad Engineering
8;76.03;5.42;7;348;21;Business Support & Office Support
0;156.96;0;0;612;0;Business Support & Office Support
73;66.96;127.34;267;36;54;Business Support & Office Support
0;5.69;0;0;1;0;Business Support & Office Support
2592;288.36;1326.07;1813;2326;845;Business Management
1323;361.17;1180.16;1368;1461;1218;Business Support & Office Support
150;198.7;1;2;519;7;Business Support & Office Support
0;31.8;0;0;122;0;Business Support & Office Support
0;43.08;6;2;0;42;Compliance & Legal
66;39.26;3;3;6;100;Business Support & Office Support
0;11.06;0.25;5;24;2;Business Support & Office Support
669;219.51;135.58;464;841;1240;Business Support & Office Support
1;31.65;0;0;27;54;Business Support & Office Support
1;77.56;19.25;78;438;0;Business Support & Office Support
0;45.27;0;0;15;4;Business Support & Office Support
0;15.8;0;0;18;22;Business Management
43;9.89;1.42;30;111;35;Business Support & Office Support
35;11.57;46.9;30;46;52;Business Support & Office Support
0;8.68;1.67;10;72;0;Business Support & Office Support
0;57.21;1.5;2;11;5;Finance
0;21.52;0;0;4;0;Business Management
2;43.91;1.67;5;20;3;Finance
0;4.78;0;0;5;25;Business Support & Office Support
1105;676.74;1579.54;1116;1370;1097;Business Support & Office Support
0;52.6;33.75;109;341;2;Business Support & Office Support
0;126.66;0.75;2;57;1;Business Support & Office Support
0;74.55;0;0;106;0;Tollroad Operation
7;381.05;5;13;1136;2;Business Support & Office Support
5;42.12;0;0;12;20;Business Support & Office Support
0;35.69;0;0;0;2;Information Technology
0;11.38;0;0;2;0;Business Management
0;75.63;0;0;3;0;Business Management
0;56.05;58;92;409;23;Business Support & Office Support
0;81.49;4.25;20;19;12;Tollroad Operation
0;97.97;0;0;4;4;Information Technology
0;67;0;0;430;0;Finance
0;102.75;0;0;3;0;Finance
3;35;0.25;5;26;8;Information Technology
0;22.01;0;0;0;0;Tollroad Operation
0;331.43;10.33;11;104;5;Business Support & Office Support
0;0;0;0;0;0;Business Support & Office Support
30;74.36;19.75;163;392;892;Business Support & Office Support
7;101.03;0;0;3;15;Information Technology
0;14.59;0;0;1;0;Tollroad Operation
0;58.81;0;0;1;0;Finance
1566;325.72;420.18;1362;1798;1640;Business Support & Office Support
0;24.43;0;5;209;15;Tollroad Operation
0;7.6;0;0;0;0;Business Support & Office Support
0;21.09;3;1;2;2;Tollroad Operation
4;475.82;0;0;1139;75;Business Support & Office Support
0;3.29;0;0;0;0;Business Support & Office Support
0;18.34;0;0;3;1;Information Technology
0;9.77;0;0;1;0;Business Support & Office Support
0;150.14;0;1;544;7;Business Support & Office Support
0;53.81;0;0;104;0;Information Technology
0;12.77;3;0;1;0;Tollroad Operation
0;97.62;0;3;148;6;Business Support & Office Support
0;53.16;0;0;241;0;Information Technology
0;25.06;0;0;3;0;Finance
0;58.02;0.5;1;1;0;Information Technology
0;42.54;0;6;70;0;Business Management
0;11.89;0;0;1;0;Information Technology
0;83.46;0;0;495;190;Finance
0;143.44;0;0;306;146;Business Support & Office Support
0;44.49;0;0;2;0;Information Technology
0;56.17;0;1;5;0;Business Support & Office Support
0;77.75;0;1;135;97;Tollroad Operation
0;100.31;0;0;706;0;Tollroad Operation
1;45.94;2;1;68;0;Tollroad Engineering
5;24.05;0;0;1;10;Information Technology
0;120.5;29.25;30;729;15;Business Support & Office Support
0;18.24;0;13;3;1;Business Support & Office Support
0;37.13;0.5;2;18;2;Business Support & Office Support
0;13.36;1;1;8;25;Business Support & Office Support
9;169.25;1.25;4;15;1;Business Support & Office Support
0;144.02;0;0;840;0;Business Support & Office Support
0;30.6;0;0;2;38;Tollroad Operation
0;30.5;2;2;101;200;Tollroad Operation
0;9.32;0;0;5;0;Finance
0;31.03;0;0;8;0;Tollroad Engineering
37;40.92;14;11;18;21;Business Management
0;11;0;0;2;0;Business Management
0;28.25;1.5;3;8;0;Business Management
0;210.65;0;0;693;61;Business Support & Office Support
0;1.5;0;0;1;0;Finance
0;29.5;0;0;3;0;Business Support & Office Support
0;19.49;0;0;69;0;Business Support & Office Support
0;344.7;16.42;13;292;735;Tollroad Operation
0;3.04;0;0;5;0;Business Support & Office Support
8;192.08;0;0;412;232;Business Support & Office Support
0;2.56;0;0;0;0;Business Management
0;54.72;0;0;9;26;Business Management
0;28.26;0;0;7;1;Business Support & Office Support
0;0;0;0;0;0;Finance
0;72.29;1.5;1;34;98;Compliance & Legal
1;15.76;0;0;5;4;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Management
0;5.64;0;0;2;0;Tollroad Engineering
0;355.04;7;10;1283;1762;Business Support & Office Support
57;154.06;12;31;644;362;Business Support & Office Support
0;8.05;0;0;3;1;Tollroad Engineering
0;5.06;0;0;1;0;Information Technology
0;10.43;0;0;2;0;Tollroad Engineering
0;50.41;16;6;10;1;Business Support & Office Support
7;181.58;0;6;825;121;Business Support & Office Support
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
0;3.84;0;0;2;0;Tollroad Operation
0;11.86;0;0;4;7;Tollroad Engineering
0;16.25;0;0;0;0;Tollroad Engineering
1;44.6;0;3;65;6;Finance
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Engineering
0;137.52;0;0;1335;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;4.54;0;0;1;0;Business Support & Office Support
1;37.46;5;4;74;10;Compliance & Legal
0;25.49;0;0;5;0;Tollroad Engineering
0;40.76;0;0;12;0;Tollroad Engineering
0;76.87;0;0;39;0;Business Support & Office Support
0;55.85;0;0;8;0;Business Support & Office Support
8;220.85;18;8;210;11;Tollroad Operation
3;98.73;68.75;77;82;55;Business Management
0;199.64;0;1;162;0;Information Technology
0;11.19;0;0;4;0;Tollroad Engineering
0;89.68;0;0;34;0;Business Support & Office Support
307;295.08;392.39;1229;1246;73;Tollroad Engineering
0;43.83;24;105;212;546;Information Technology
0;140.92;0.08;1;1087;0;Tollroad Engineering
0;4.16;0;0;3;0;Tollroad Engineering
0;10.5;0;0;5;0;Tollroad Engineering
0;91.79;0;0;92;0;Business Support & Office Support
0;235.37;0;0;194;6;Tollroad Engineering
0;8.42;0;0;7;0;Tollroad Engineering
0;12;0;0;7;0;Tollroad Engineering
504;406.49;254.08;481;1628;1367;Tollroad Engineering
3;86.37;12.55;55;98;1246;Tollroad Operation
0;1.54;0;0;2;0;Tollroad Engineering
0;2.98;0;0;2;0;Tollroad Operation
0;7.44;0;0;3;0;Tollroad Engineering
0;424.27;0;0;310;11;Business Management
0;2.58;0;0;1;0;Tollroad Engineering
0;14.96;0;0;5;8;Tollroad Engineering
0;37.06;0;0;28;0;Tollroad Engineering
94;79.52;19.08;111;1200;8;Tollroad Engineering
0;0;0;0;0;0;Finance
0;48.8;6;14;285;227;Tollroad Engineering
0;1.09;0;0;4;0;Tollroad Engineering
0;0.05;0;0;0;8;Tollroad Engineering
0;184.23;55.75;150;1529;1250;Information Technology
0;41.6;0;0;34;26;Finance
0;0.54;0;0;10;0;Finance
0;92.18;13.15;59;159;148;Business Management
0;76.04;0;0;2;299;Business Management
0;58.85;19.25;27;135;65;Information Technology
0;6.88;0;0;29;0;Tollroad Operation
0;60.6;0;0;8;11;Finance
0;13.27;0;0;0;0;Business Management
0;117.74;0;0;316;10;Tollroad Operation
0;84.72;0;5;244;0;Tollroad Engineering
6;34.9;10;5;10;37;Business Support & Office Support
315;579.33;0;2;1217;19;Business Support & Office Support
0;0;0;1;0;0;Compliance & Legal
1;280.15;3.25;10;437;8;Finance
133;124.58;26;26;114;164;Business Support & Office Support
0;1.5;0;0;1;0;Business Support & Office Support
0;2.8;0;0;1;0;Business Support & Office Support
0;0;0;0;0;0;Business Support & Office Support
20;42.19;8.03;33;445;12;Finance
1522;1207.76;1417.44;1324;1550;895;Business Support & Office Support
0;74.51;0;0;8;0;Business Management
0;107.78;0;0;14;0;Business Support & Office Support
0;2.53;0;0;9;0;Tollroad Engineering
0;58.18;0;0;11;145;Tollroad Engineering
0;32.01;0;0;3;2;Tollroad Engineering
0;9.13;0;0;32;18;Tollroad Engineering
3;47.31;3.5;8;4;119;Business Management
132;101.14;28.34;46;659;661;Tollroad Operation
0;63.02;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
0;9.4;0;0;32;0;Tollroad Engineering
0;52.46;0;0;3;0;Tollroad Engineering
0;182.55;0;0;200;590;Finance
0;0;0;0;0;0;Business Support & Office Support
0;7.75;0;0;4;0;Business Support & Office Support
0;0;0;0;0;0;Compliance & Legal
0;0.04;0;1;0;3;Tollroad Operation
0;2.19;0;0;1;0;Business Management
0;0;0;0;0;0;Tollroad Operation
21;350.63;36.74;61;1101;81;Finance
0;92.22;7;6;39;4;Information Technology
0;107.7;10.43;35;59;207;Business Management
0;7.71;0;0;2;28;Tollroad Engineering
6;116.11;77.75;245;221;419;Tollroad Operation
583;101;22.15;374;336;739;Business Support & Office Support
0;42.93;0;0;256;23;Finance
137;93.06;37.85;77;620;689;Business Support & Office Support
