LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;UnitKerja
0;7.21;0;0;17;0;Finance
0;6.62;0;0;0;0;Finance
0;9.87;0;0;0;30;Finance
0;27.33;0;0;3;0;Finance
0;27.5;0;0;1;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
2;43.91;1.67;5;20;3;Finance
0;0;0;0;0;0;Finance
0;6.61;0;0;2;0;Finance
0;209.18;0;0;372;76;Finance
0;41.6;0;0;34;26;Finance
0;22.27;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;87.32;0;0;103;1;Finance
0;155.67;0;0;5;1;Finance
0;58.25;0;0;11;0;Finance
0;39.67;2;1;6;0;Finance
0;102.21;107.43;114;539;0;Finance
0;0;0;0;0;0;Finance
0;1.1;0;0;5;0;Finance
16;228.91;39.09;38;728;62;Finance
0;0;0;0;0;0;Finance
0;6.48;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;27.09;3.75;6;64;9;Finance
0;0;0;0;0;0;Finance
0;1.78;0;0;11;2;Finance
0;0;0;0;0;0;Finance
0;38.96;0;0;2;1;Finance
397;333.45;301.38;163;823;187;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;221.19;0;0;993;0;Finance
0;60.6;0;0;8;11;Finance
0;107.25;0;0;125;0;Finance
0;295.74;0;0;1028;0;Finance
0;0.16;0;0;0;0;Finance
0;67;0;0;430;0;Finance
0;23.34;0;0;2;0;Finance
0;10.66;0;0;9;0;Finance
0;0;0;0;0;0;Finance
0;34.96;0;1;18;0;Finance
0;0;0;0;0;0;Finance
0;5.97;0;1;103;0;Finance
0;0;0;0;0;0;Finance
0;57.21;1.5;2;11;5;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;15.53;0;1;43;0;Finance
0;33.89;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;43.35;0;0;7;0;Finance
0;9.32;0;0;5;0;Finance
1;174.41;0.25;2;604;21;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
21;350.63;36.74;61;1101;81;Finance
0;26.98;0;0;5;0;Finance
0;69.35;0;0;7;1;Finance
0;0;0;0;0;0;Finance
51;48.85;12.91;45;163;184;Finance
1;44.6;0;3;65;6;Finance
0;0;0;0;0;0;Finance
0;2.02;0;0;1;1;Finance
0;11.42;21.33;28;50;0;Finance
0;0;0;0;0;0;Finance
0;5.28;0;0;1;0;Finance
0;0;0;0;0;0;Finance
0;74.32;0;0;11;0;Finance
248;263.07;174.67;325;883;563;Finance
0;13.9;0;0;9;13;Finance
0;0;0;0;0;0;Finance
0;67.84;0;0;216;0;Finance
482;197.67;268.88;251;204;718;Finance
72;32.42;1;1;9;0;Finance
0;25.98;0;0;11;1;Finance
0;0;0;0;0;0;Finance
0;85.82;0;1;247;2;Finance
0;13.61;0;0;57;0;Finance
20;42.19;8.03;33;445;12;Finance
0;9.99;0.25;1;9;0;Finance
0;0;0;0;0;0;Finance
0;0.54;0;0;1;0;Finance
1;29.68;0;0;7;47;Finance
1022;438.58;200.5;895;1393;1480;Finance
0;0;0;0;0;0;Finance
0;83.46;0;0;495;190;Finance
0;7.58;0;0;10;0;Finance
0;22.9;0;0;1;0;Finance
0;0;0;0;0;0;Finance
0;118.62;0;0;174;73;Finance
8;260.23;12.08;144;1596;48;Finance
0;29.21;0;0;62;0;Finance
0;126.87;0;0;340;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;47.58;0;0;34;0;Finance
0;1.77;0;0;19;2;Finance
0;15.46;1;2;37;22;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
924;374.73;681;1161;1211;1852;Finance
0;0;0;0;0;0;Finance
5;73.59;41.41;76;111;226;Finance
7;0.37;0;0;0;1;Finance
0;0.02;0;0;0;0;Finance
0;285.73;1.5;2;353;41;Finance
0;0.54;0;0;10;0;Finance
3;37.84;1.75;2;63;13;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;58.81;0;0;1;0;Finance
0;0;0;0;0;0;Finance
0;22.03;0;0;9;15;Finance
0;52.59;0;0;9;2;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;11.64;0;1;4;0;Finance
0;38.48;0;0;2;0;Finance
0;0;0;0;0;0;Finance
0;20.59;0;13;307;0;Finance
0;47.4;0;0;97;59;Finance
0;71.97;0;0;247;0;Finance
1;280.15;3.25;10;437;8;Finance
0;0;0;0;0;0;Finance
1099;339.84;608.33;895;1598;2097;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;34.82;0;0;2;0;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;80.06;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;10.06;2.5;1;0;0;Finance
0;22.97;0;0;0;0;Finance
0;56.11;0;62;268;0;Finance
0;17.51;0;0;5;0;Finance
0;0;0;0;0;0;Finance
0;27.53;0;0;10;0;Finance
0;0;0;0;0;0;Finance
0;33.55;0;0;1;450;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;85.72;0;2;14;0;Finance
2;169.21;0;1;172;1214;Finance
0;0;0;0;0;0;Finance
0;61.19;0;0;7;0;Finance
0;142.93;0;0;446;16;Finance
0;2.73;0;0;2;0;Finance
0;324.77;0;0;1624;738;Finance
0;0;0;0;0;0;Finance
0;45.38;0;0;6;1;Finance
0;44.78;0.25;2;184;142;Finance
0;42.93;0;0;256;23;Finance
0;27.28;0;0;3;41;Finance
0;3.63;0;1;11;1;Finance
0;0;0;0;0;0;Finance
0;0.02;0;0;0;5;Finance
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Finance
0;3.48;0;0;0;0;Finance
0;0;0;0;0;0;Finance
46;106.81;41;42;160;66;Finance
0;0;0;0;0;0;Finance
0;12.56;0;0;4;0;Finance
0;0;0;0;0;0;Finance
0;63.1;0;0;0;0;Finance
0;26.31;0;0;1;0;Finance
0;0;0;0;0;0;Tollroad Operation
0;7.84;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;1.99;0;0;5;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.07;0;0;0;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0.25;1;0;0;Tollroad Operation
0;3.52;0;0;6;0;Tollroad Operation
0;1.82;0;0;0;1;Tollroad Operation
0;11.9;0;0;123;13;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;7.82;0;0;11;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
36;214.67;0.5;120;486;770;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
7;10.07;3.75;17;42;41;Tollroad Operation
0;95.66;0;0;573;0;Tollroad Operation
0;0.37;0;0;1;2;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;1.97;0;0;23;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;170.9;0;1;972;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.79;3.2;99;97;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;1.75;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
3;86.37;12.55;55;98;1246;Tollroad Operation
0;6.7;0;0;49;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
1128;122.34;112.23;583;648;1240;Tollroad Operation
0;6.35;0;0;1;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;1.25;0;0;2;0;Tollroad Operation
0;0.1;0;0;0;2;Tollroad Operation
0;1.64;0;0;4;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.01;0;4;1;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.56;0;0;15;0;Tollroad Operation
0;18.21;0;0;120;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;2;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;1.78;0;0;0;0;Tollroad Operation
434;66.84;90.08;355;658;480;Tollroad Operation
0;0.34;0;0;5;5;Tollroad Operation
0;0.1;2.6;6;5;0;Tollroad Operation
90;105.97;17.68;123;522;273;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;8.24;0.25;3;2;119;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;4.05;0.67;2;8;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;1.63;0;0;0;0;Tollroad Operation
0;0.27;0;0;4;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
1158;120.33;88.6;592;1315;815;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
57;5.78;0;0;7;1;Tollroad Operation
0;19.04;4.5;21;54;107;Tollroad Operation
8;5.06;0.52;37;65;0;Tollroad Operation
0;20.7;0;19;141;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;6;0;0;0;5;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
94;20.81;26.98;108;120;181;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;8.04;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;10.87;0;0;28;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
399;203.23;3.75;15;858;152;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
4;77.77;5.5;20;118;957;Tollroad Operation
0;4.34;0;9;79;0;Tollroad Operation
0;0.02;0;0;1;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
14;1.5;0.67;10;34;16;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;20.29;0;0;93;32;Tollroad Operation
0;9.56;1.5;6;36;11;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
1212;294.94;252.25;1145;1238;2487;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.26;0;0;0;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
1534;366.69;298.55;1399;2848;582;Tollroad Operation
0;1.65;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
17;119.25;0;85;457;445;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;5.02;0;0;14;23;Tollroad Operation
0;19.73;0;0;149;20;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
5;38.73;0;0;36;45;Tollroad Operation
0;7.43;0.5;14;68;46;Tollroad Operation
0;12.57;0;1;58;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;3.51;0;0;7;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;27.36;0;1;8;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
258;69.35;8.13;225;636;482;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;55.92;0;31;356;105;Tollroad Operation
0;10.46;6.58;23;126;28;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
130;136.61;6.25;25;1293;102;Tollroad Operation
0;4.31;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
