LearDia;LearHou;SharHou;CollMem;CollExp;CourCom
0;27.06;0;0;3;18
0;6.85;0;0;61;51
0;0;0;0;0;0
0;0;0;0;0;0
0;4.26;0;0;0;0
12;0;0;0;0;0
1;25.62;3;1;9;5
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;65.14;0;1;17;5
0;6.11;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;13.82;0;0;328;5
0;2;0;0;1;0
0;0;0;0;0;0
3;52.34;14.5;48;238;184
0;0;0;0;0;0
0;0;0;0;0;0
0;14.83;0;0;27;1
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;4.38;0;0;1;0
0;0;0;0;0;0
0;0.32;0;0;5;1
0;0;0;0;0;0
0;5.06;0;0;1;0
0;228.94;0;1;647;0
1292;1282.1;1962;1566;4292;794
0;0;0;0;0;0
0;0;0;0;0;0
0;174.06;0;0;569;10
2;169.21;0;1;172;1214
237;89.46;112.36;254;331;367
0;0;0;0;0;0
1;0;0;0;0;0
0;2.17;0;0;0;0
16;0.04;0.58;10;7;0
1128;122.34;112.23;583;648;1240
0;1.5;0;0;1;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;10.33;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;11.17;0;0;105;0
5;73.59;41.41;76;111;226
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
8;192.08;0;0;412;232
0;0;0;0;0;0
0;58.48;0.5;20;340;40
0;12.74;0;0;49;14
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
1346;225.42;894.38;1343;1619;327
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;2.18;0;0;0;0
0;12.91;0;1;84;0
0;33.64;12.75;27;27;44
1158;120.33;88.6;592;1315;815
0;20.96;0;0;11;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0.01;0;0;5;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;4.98;0;0;0;18
0;0;0;0;0;1
0;44.41;0;0;0;0
0;0;0;0;0;0
0;18.34;0;0;3;1
0;0;0;0;0;0
0;0;0;0;0;0
0;2.64;0;0;19;0
0;22.63;0;0;63;0
0;0;0;0;0;0
0;0;0.25;1;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;7.86;0;0;4;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;9.23;0;0;0;0
0;151.23;0;0;217;642
0;0;0;0;0;0
1;12.98;0.17;1;9;1
0;10.36;3;1;2;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;28.2;0;0;21;0
0;9.62;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0.79;3.2;99;97;0
0;0;0;0;0;0
0;0;0.08;1;0;0
0;0.86;6;1;0;2
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;49.16;2;7;214;181
0;38.65;0;0;235;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0.36;0;0;0;3
0;0;0;0;0;0
0;0;0;0;0;2
0;1.64;0;0;0;0
