LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;UnitKerja
0;57.07;0;3;14;0;Tollroad Operation
0;114.07;2.75;4;264;0;Information Technology
8;76.03;5.42;7;348;21;Business Support & Office Support
73;66.96;127.34;267;36;54;Business Support & Office Support
1323;361.17;1180.16;1368;1461;1218;Business Support & Office Support
0;31.8;0;0;122;0;Business Support & Office Support
43;9.89;1.42;30;111;35;Business Support & Office Support
43;9.89;1.42;30;111;35;Business Support & Office Support
0;57.21;1.5;2;11;5;Finance
2;43.91;1.67;5;20;3;Finance
0;126.66;0.75;2;57;1;Business Support & Office Support
0;74.55;0;0;106;0;Tollroad Operation
0;35.69;0;0;0;2;Information Technology
0;81.49;4.25;20;19;12;Tollroad Operation
0;22.01;0;0;0;0;Tollroad Operation
7;101.03;0;0;3;15;Information Technology
1566;325.72;420.18;1362;1798;1640;Business Support & Office Support
4;475.82;0;0;1139;75;Business Support & Office Support
0;150.14;0;1;544;7;Business Support & Office Support
0;12.77;3;0;1;0;Tollroad Operation
0;97.62;0;3;148;6;Business Support & Office Support
0;25.06;0;0;3;0;Finance
0;58.02;0.5;1;1;0;Information Technology
0;83.46;0;0;495;190;Finance
0;143.44;0;0;306;146;Business Support & Office Support
5;24.05;0;0;1;10;Information Technology
0;37.13;0.5;2;18;2;Business Support & Office Support
0;144.02;0;0;840;0;Business Support & Office Support
0;9.32;0;0;5;0;Finance
0;31.03;0;0;8;0;Tollroad Engineering
0;28.25;1.5;3;8;0;Business Management
0;54.72;0;0;9;26;Business Management
0;72.29;1.5;1;34;98;Compliance & Legal
0;5.64;0;0;2;0;Tollroad Engineering
57;154.06;12;31;644;362;Business Support & Office Support
0;10.43;0;0;2;0;Tollroad Engineering
7;181.58;0;6;825;121;Business Support & Office Support
0;3.84;0;0;2;0;Tollroad Operation
0;137.52;0;0;1335;0;Business Support & Office Support
504;406.49;254.08;481;1628;1367;Tollroad Engineering
3;86.37;12.55;55;98;1246;Tollroad Operation
0;424.27;0;0;310;11;Business Management
0;14.96;0;0;5;8;Tollroad Engineering
94;79.52;19.08;111;1200;8;Tollroad Engineering
0;0;0;0;0;0;Finance
0;184.23;55.75;150;1529;1250;Information Technology
0;0.54;0;0;10;0;Finance
0;6.88;0;0;29;0;Tollroad Operation
0;84.72;0;5;244;0;Tollroad Engineering
6;34.9;10;5;10;37;Business Support & Office Support
315;579.33;0;2;1217;19;Business Support & Office Support
0;0;0;0;0;0;Business Support & Office Support
0;2.53;0;0;9;0;Tollroad Engineering
0;63.02;0;0;0;0;Tollroad Engineering
0;7.75;0;0;4;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
21;350.63;36.74;61;1101;81;Finance
0;107.7;10.43;35;59;207;Business Management
0;135.67;0;0;691;0;Business Support & Office Support
0;22.71;0;0;1;0;Business Management
0;5.17;0;0;3;0;Business Management
0;79.76;0;3;244;104;Business Support & Office Support
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
300;271.26;45.66;297;1364;590;Business Support & Office Support
0;33.97;0;0;6;1;Tollroad Engineering
104;146.24;16.27;122;819;159;Business Support & Office Support
5;171.06;15;14;484;36;Business Support & Office Support
0;15.71;0;0;5;9;Business Management
22;57.92;5.5;22;36;346;Tollroad Operation
0;123.52;4.75;19;54;81;Compliance & Legal
971;141.39;212;844;1630;876;Tollroad Operation
0;1.5;0;0;1;0;Tollroad Engineering
790;274.76;193.5;753;1739;1631;Tollroad Operation
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
0;30.18;0;0;116;0;Finance
0;9.4;0;0;32;0;Tollroad Engineering
1;37.28;1.33;5;63;142;Business Support & Office Support
0;285.73;1.5;2;353;41;Tollroad Engineering
0;16.8;0;0;380;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
0;27.92;1;1;15;34;Tollroad Engineering
0;16.57;0;0;6;9;Business Support & Office Support
230;88.02;206.58;262;997;584;Business Support & Office Support
1457;510.04;1259.86;1363;1721;2325;Business Support & Office Support
0;36.71;0;0;212;1;Finance
0;199.63;0;0;887;0;Information Technology
27;134.27;104.82;64;383;74;Tollroad Engineering
0;41.79;109.75;118;170;0;Business Support & Office Support
0;26.54;2;8;251;3;Tollroad Operation
0;77.09;0;0;1;0;Tollroad Engineering
0;15.43;0;0;2;3;Compliance & Legal
0;13.86;0;0;0;0;Business Management
0;10.14;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Support & Office Support
0;0;0;0;0;0;Information Technology
221;121;66.56;301;295;985;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;36.15;0;1;5;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;1.45;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;12.16;0;2;130;0;Compliance & Legal
0;1.99;0;0;0;0;Business Management
0;12.54;0;0;5;165;Tollroad Engineering
0;1.39;0.75;2;16;3;Tollroad Operation
0;0;0;0;2;0;Business Management
0;12.6;0.5;5;137;29;Tollroad Operation
0;3.12;0;0;0;0;Tollroad Operation
0;0.41;0;0;0;0;Tollroad Operation
0;7.02;0;0;2;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
0;373.23;0.05;3;322;536;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;2;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.56;0;0;0;5;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;67.84;0;0;216;0;Finance
0;1.97;0;0;23;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Support & Office Support
0;29.77;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;1.96;0;0;0;0;Tollroad Operation
0;12.87;0;0;35;0;Tollroad Operation
0;13.01;0;0;19;4;Compliance & Legal
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;5.13;0;0;2;0;Tollroad Operation
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
94;72.79;2.5;10;236;64;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;22.11;0;0;2;33;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;6.64;0;5;24;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.1;2.6;6;5;0;Tollroad Operation
0;1.41;0.08;2;10;0;Tollroad Engineering
0;44.82;0;0;3;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Operation
0;23.34;0;0;2;0;Finance
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;9.45;0;0;0;0;Finance
0;2.97;0;0;0;0;Business Support & Office Support
0;12.46;0;1;0;5;Business Support & Office Support
0;35.18;0;0;69;0;Business Management
0;9.62;0;0;0;0;Business Management
0;22.58;0;0;10;0;Finance
0;127.64;6.58;23;23;30;Business Support & Office Support
0;27.53;0;0;10;0;Finance
0;0;0;0;0;0;Tollroad Operation
66;566.17;3.5;4;1759;24;Business Support & Office Support
0;0.72;0;0;0;10;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
583;67.04;6.4;188;229;1673;Tollroad Operation
0;0;0.22;4;0;0;Tollroad Operation
0;0;0;0;0;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
13;9.52;4.02;27;203;10;Tollroad Operation
10;23.99;1;4;190;62;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;16.4;0;10;116;1;Tollroad Operation
0;200.82;0;0;121;0;Business Management
0;0;0;0;0;0;Tollroad Operation
105;35.78;2.75;106;323;271;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.44;0;2;6;0;Tollroad Operation
0;0.25;0;0;2;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
1;9.28;0.2;12;14;10;Business Management
0;12.63;0;0;6;0;Information Technology
0;224.73;0;7;398;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Management
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;33.41;0;0;3;0;Business Management
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;35.25;0.33;37;262;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
40;7.81;0;0;1;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.01;0;0;3;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
463;106.43;108.5;434;622;727;Business Support & Office Support
0;0;0;0;0;0;Business Support & Office Support
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;6.69;0;0;15;0;Tollroad Operation
0;1.3;0;0;0;11;Tollroad Engineering
0;1.74;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;202.07;0;0;861;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Engineering
0;17.32;0;0;46;79;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;18.18;0;0;1;0;Information Technology
0;3.92;0;0;0;18;Tollroad Operation
0;0.26;0;0;6;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
14;22.42;1.5;7;133;71;Tollroad Operation
106;61.3;25.75;107;523;252;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;8.06;0;0;35;0;Business Support & Office Support
54;25.96;0.5;1;25;0;Tollroad Operation
0;186.02;0;0;623;168;Business Support & Office Support
69;31.99;2;2;2;8;Information Technology
