LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;Kelas
0;27.06;0;0;3;18;Tollroad Operation
0;6.85;0;0;61;51;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;4.26;0;0;0;0;Finance
12;0;0;0;0;0;Tollroad Operation
1;25.62;3;1;9;5;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;65.14;0;1;17;5;Business Support & Office Support
0;6.11;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Finance
0;0;0;0;0;0;Business Support & Office Support
0;13.82;0;0;328;5;Tollroad Operation
0;2;0;0;1;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Engineering
3;52.34;14.5;48;238;184;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Management
0;14.83;0;0;27;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;4.38;0;0;1;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;0.32;0;0;5;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;5.06;0;0;1;0;Information Technology
0;228.94;0;1;647;0;Tollroad Operation
1292;1282.1;1962;1566;4292;794;Tollroad Operation
0;0;0;0;0;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;174.06;0;0;569;10;Business Support & Office Support
2;169.21;0;1;172;1214;Finance
237;89.46;112.36;254;331;367;Business Support & Office Support
0;0;0;0;0;0;Business Support & Office Support
1;0;0;0;0;0;Business Support & Office Support
0;2.17;0;0;0;0;Tollroad Operation
16;0.04;0.58;10;7;0;Tollroad Operation
1128;122.34;112.23;583;648;1240;Tollroad Operation
0;1.5;0;0;1;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
